ID,Tựa đề,Link truyện,Phương thức dịch,Thể loại,Manga,Anime,CD,Ngôn ngữ gốc,Link ảnh,Tác giả,Họa sĩ,Kiểu trình bày,Tình trạng,Số like,Số từ,Số lượt đánh giá,Số lượt xem,Số lượt bình luận,Fname,ID người dịch,Người dịch,Link người dịch,ID nhóm dịch,Nhóm dịch,Link nhóm dịch,ID người tham gia,Người tham gia,Link người tham gia,Số tập,Số chương,Ngày bắt đầu,Tháng bắt đầu,Năm bắt đầu,Ngày cập nhật cuối,Tháng cập nhật cuối,Năm cập nhật cuối
1,Seirei Tsukai no Blade Dance,https://ln.hako.vn/truyen/1-seirei-tsukai-no-blade-dance,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi', 'Harem', 'School Life', 'Super Power', '']",Yes,Yes,Yes,japanese,https://i.docln.net/lightnovel/covers/s1-c4dd8ff5-552d-46ec-9945-529f9aa2d1b2-m.jpg,Shimizu Yuu,"Sakura Hanpen, Nimura Yuuji, Shimesada Kohada",light novel,Đã hoàn thành,2944.0,1071757,345.0,1695086,2256,NOT FOUND,39,medassin,https://ln.hako.vn/thanh-vien/39,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,21,272,11,11,2016,20,7,2020
10,Utsuro no Hako to Zero no Maria,https://ln.hako.vn/truyen/10-utsuro-no-hako-to-zero-no-maria,Truyện dịch,"['Drama', 'Mystery', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-hGKnPrypenQ/WO2vaWFMeCI/AAAAAAAAJxw/9NXW2PRideY/w215/series_10.jpg,Mikage Eiji,Tetsuo (415),light novel,Tạm ngưng,889.0,333710,97.0,176429,60,Hakomari,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,6,25,11,11,2016,11,11,2016
108,Yahari Ore no Seishun Love Come wa Machigatteiru,https://ln.hako.vn/truyen/108-yahari-ore-no-seishun-love-come-wa-machigatteiru,Truyện dịch,"['Comedy', 'Drama', 'School Life', 'Slice of Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-A0dOLNHLzh0/WO2vpMSXOCI/AAAAAAAAJ34/wd8BcI9CSQk/w215/series_108.jpg,Wataru Watari,Ponkan⑧,light novel,Đang tiến hành,540.0,348338,0,267496,43,OreGairu,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,14,41,11,11,2016,27,11,2016
11,Fate/Zero,https://ln.hako.vn/truyen/11-fatezero,Truyện dịch,"['Action', 'Fantasy', 'Supernatural', 'Drama']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-_XopZx9lUR4/WO2vafVT-KI/AAAAAAAAJx0/Q517v3HEEkE/w215/series_11.jpg,Gen Urobuchi,Takeuchi Takashi,light novel,Đã hoàn thành,190.0,366178,16.0,111831,22,NOT FOUND,2,Hako-chan,https://ln.hako.vn/thanh-vien/2,9,Vnsharing,https://ln.hako.vn/nhom-dich/9-vnsharing,NOT FOUND,NOT FOUND,NOT FOUND,5,27,11,11,2016,22,8,2017
12,"Tabi ni Deyou, Horobiyuku Sekai no Hate Made",https://ln.hako.vn/truyen/12-tabi-ni-deyou-horobiyuku-sekai-no-hate-made,Truyện dịch,"['Adventure', 'Fantasy']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-dBM-k8l2XGk/WO2vatvnj9I/AAAAAAAAJx4/_xaOvpa49jE/w215/series_12.jpg,Yorozuya Tadahito,Houmitsu,light novel,Đã hoàn thành,228.0,81387,41.0,43372,25,Our Journey to the End of the Ceasing World,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,1,6,11,11,2016,11,11,2016
14,Bungaku Shoujo,https://ln.hako.vn/truyen/14-bungaku-shoujo,Truyện dịch,"['Drama', 'Mystery', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-c3cBotWJCmg/WO2vayj5JlI/AAAAAAAAJyA/MnKrJm7ku_k/w215/series_14.jpg,Nomura Mizuki,Takeoka Miho,light novel,Tạm ngưng,133.0,80003,7.0,146697,4,Cô Gái Văn Chương,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,12,Sickos-Alliance,https://ln.hako.vn/nhom-dich/12-sickos-alliance,NOT FOUND,NOT FOUND,NOT FOUND,3,14,11,11,2016,11,11,2016
15,Dantalian no Shoka,https://ln.hako.vn/truyen/15-dantalian-no-shoka,Truyện dịch,"['Fantasy', 'Mystery', 'Action', 'Drama', 'Supernatural']",Not sure,Not sure,Not sure,japanese,https://i.docln.net/lightnovel/covers/s15-bf265093-cb73-4b92-ad72-975d333e17d2-m.jpg,Mikumo Gakuto,G-Yuusuke,light novel,Tạm ngưng,120.0,59565,6.0,32318,3,Thư viện của Dantalian,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,12,Sickos-Alliance,https://ln.hako.vn/nhom-dich/12-sickos-alliance,NOT FOUND,NOT FOUND,NOT FOUND,1,8,11,11,2016,11,11,2016
16,Zero no Tsukaima,https://ln.hako.vn/truyen/16-zero-no-tsukaima,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-R95ey36a2PM/WO2vbBKqAJI/AAAAAAAAJyI/EOsFqFMvc8c/w215/series_16.jpg,Yamaguchi Noboru,Usatsuka Eiji,light novel,Tạm ngưng,199.0,258349,0,91608,14,Linh Thú của Zero,42,MuvLuvFan,https://ln.hako.vn/thanh-vien/42,33,Snail,https://ln.hako.vn/nhom-dich/33-snail,NOT FOUND,NOT FOUND,NOT FOUND,5,43,11,11,2016,31,5,2017
17,Infinite Stratos,https://ln.hako.vn/truyen/17-infinite-stratos,Truyện dịch,"['Action', 'Comedy', 'Harem', 'Mecha', 'School Life', 'Science Fiction', 'Romance', 'Ecchi', '']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-CC2aIJdjsso/WO2vboCq2dI/AAAAAAAAJyM/oYwf4hDWx3c/w215/series_17.jpg,Yumizuru Izuru,Okiura,light novel,Đang tiến hành,458.0,381073,21.0,164147,30,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,8,51,11,11,2016,11,11,2016
18,Hidan no Aria,https://ln.hako.vn/truyen/18-hidan-no-aria,Truyện dịch,"['Action', 'Comedy', 'Harem', 'School Life', 'Supernatural', 'Romance', 'Drama', 'Ecchi', 'Super Power', '']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-8T9nWLu1FOI/WO2vbtxFmwI/AAAAAAAAJyQ/DMuu9Q3waF0/w215/series_18.jpg,Akamatsu Chuugaku,Kobuichi,light novel,Tạm ngưng,344.0,495380,14.0,176703,30,Aria the Scarlet Ammo,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,11567,Silverlord,https://ln.hako.vn/thanh-vien/11567,22,62,11,11,2016,11,11,2016
20,Baka to Test to Shoukanjuu,https://ln.hako.vn/truyen/20-baka-to-test-to-shoukanjuu,Truyện dịch,"['Comedy', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-cnPy89IPAns/WO2vbwYYIzI/AAAAAAAAJyY/7Yae1Bvzt0A/w215/series_20.jpg,Inoue Kenji,Haga Yui,light novel,Đang tiến hành,385.0,936740,22.0,500408,34,"バカとテストと召喚獣
The idiots, The Tests and The Summoned Beasts
Lũ Ngốc, Bài Thi Và Linh Thú Triệu Hồi",1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,18,164,11,11,2016,6,12,2016
21,Waltraute-san no Konkatsu Jijou,https://ln.hako.vn/truyen/21-waltraute-san-no-konkatsu-jijou,Truyện dịch,"['Comedy', 'Fantasy', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-BlAMHl9SQxk/WO2vcC9PHKI/AAAAAAAAJyc/K2JS_65C2tc/w215/series_21.jpg,Kamachi Kazuma,Nagiryo,light novel,Đã hoàn thành,393.0,63028,21.0,74659,38,"Hoàn cảnh dẫn tới cuộc hôn nhân của Waltraute, ヴァルトラウテさんの婚活事情",1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,6,11,11,2016,11,11,2016
23,Monogatari Series,https://ln.hako.vn/truyen/23-monogatari-series,Truyện dịch,"['Comedy', 'Drama', 'Harem', 'School Life', 'Supernatural', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-2u6PF-0Vwbk/WO2vceFopnI/AAAAAAAAJyk/x2c5yeNMd8k/w215/series_23.jpg,NisiOisiN,VOFAN,light novel,Tạm ngưng,348.0,675415,31.0,282713,66,Yêu ma kì truyện,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,1,Hako Translation,https://ln.hako.vn/nhom-dich/1-hako-translation,NOT FOUND,NOT FOUND,NOT FOUND,14,169,11,11,2016,11,11,2016
24,Boku wa Tomodachi ga Sukunai,https://ln.hako.vn/truyen/24-boku-wa-tomodachi-ga-sukunai,Truyện dịch,"['Comedy', 'Harem', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-rPBkBOxeXnc/WO2vcR7mfqI/AAAAAAAAJyo/q-l44vPnitA/w215/series_24.jpg,Hirasaka Yomi,Buriki,light novel,Đang tiến hành,475.0,383212,24.0,220598,169,Tôi không có nhiều bạn,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,10,110,11,11,2016,11,11,2016
26,Heavy Object,https://ln.hako.vn/truyen/26-heavy-object,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Mystery', 'Science Fiction', 'Drama', '']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-JsTaglFIl2A/WO2vcsXvB3I/AAAAAAAAJyw/EiNi7M-HoFg/w215/series_26.jpg,Kamachi Kazuma,Nagiryo,light novel,Tạm ngưng,165.0,428597,11.0,64511,13,ヘヴィーオブジェクト,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,"11567
11907","Silverlord
OmegaSky","https://ln.hako.vn/thanh-vien/11567
https://ln.hako.vn/thanh-vien/11907",6,35,11,11,2016,29,11,2018
27,Suzumiya Haruhi,https://ln.hako.vn/truyen/27-suzumiya-haruhi,Truyện dịch,"['Comedy', 'Science Fiction', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-DBJqWjI5O6Q/WO2vcwHDwNI/AAAAAAAAJy0/MlWANXm8_Vw/w215/series_27.jpg,Tanigawa Nagaru,Itou Noizi,light novel,Tạm ngưng,50.0,52286,4.0,30520,4,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,1,10,11,11,2016,11,11,2016
31,Toaru Majutsu no Index,https://ln.hako.vn/truyen/31-toaru-majutsu-no-index,Truyện dịch,"['Action', 'Comedy', 'Fantasy', 'Science Fiction', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-258GfyYPMPA/WO2vdY6V52I/AAAAAAAAJzE/5F9n5EIsq84/w215/series_31.jpg,Kamachi Kazuma,Haimura Kiyotaka,light novel,Đang tiến hành,666.0,1898365,35.0,807064,353,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,3948,itachi,https://ln.hako.vn/thanh-vien/3948,30,257,11,11,2016,11,11,2016
34,Phenomeno,https://ln.hako.vn/truyen/34-phenomeno,Truyện dịch,"['Horror', 'Supernatural']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-7r_oDx-rERI/WO2vd4W8AyI/AAAAAAAAJzQ/L_lcBsaF57c/w215/series_34.jpg,Ninomae Hajime,Abe Yoshitoshi,light novel,Đã hoàn thành,101.0,59559,11.0,39616,8,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,1,Hako Translation,https://ln.hako.vn/nhom-dich/1-hako-translation,NOT FOUND,NOT FOUND,NOT FOUND,1,13,11,11,2016,11,11,2016
36,Tsuki No Sango,https://ln.hako.vn/truyen/36-tsuki-no-sango,Truyện dịch,['Drama'],Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-2By0hVDU72A/WO2veDrlrVI/AAAAAAAAJzY/tJT1Ud_laoM/w215/series_36.jpg,Kinoko Nasu,"Chihiro Aikura, Takashi Takeuchi",light novel,Đã hoàn thành,122.0,15357,13.0,32603,13,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,1,Hako Translation,https://ln.hako.vn/nhom-dich/1-hako-translation,NOT FOUND,NOT FOUND,NOT FOUND,1,4,11,11,2016,11,11,2016
43,Durarara!!,https://ln.hako.vn/truyen/43-durarara,Truyện dịch,"['Action', 'Drama', 'Supernatural', 'Romance', 'Comedy', 'Mystery', 'School Life', '']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-rYK4g8znePI/WO2vfL7XGgI/AAAAAAAAJz0/bGklE7BvKPM/w215/series_43.jpg,Ryohgo Narita,Suzuhito Yasuda,light novel,Tạm ngưng,60.0,79947,5.0,33040,3,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,13,earl_panda,https://ln.hako.vn/nhom-dich/13-earl-panda,NOT FOUND,NOT FOUND,NOT FOUND,1,15,11,11,2016,11,11,2016
60,Date A Live,https://ln.hako.vn/truyen/60-date-a-live,Truyện dịch,"['Comedy', 'Harem', 'School Life', 'Science Fiction', 'Romance', 'Action', 'Ecchi', 'Fantasy', '']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-RFGj8YBpLCs/WZxMi00AfbI/AAAAAAAApU4/uQ4ZfwlajtsQHyo5ALwV31ZtnApKDDB_ACHMYCw/w215/default.jpg,Tachibana Koushi,Tsunako,light novel,Tạm ngưng,1272.0,706851,69.0,1014664,165,NOT FOUND,25,Heartless Zombie,https://ln.hako.vn/thanh-vien/25,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,30,H.B.K,https://ln.hako.vn/thanh-vien/30,19,72,22,8,2017,23,8,2017
64,Ore no Real to Netgame ga Love Comedy ni Shinshokusare Hajimete Yabai (1-5),https://ln.hako.vn/truyen/64-ore-no-real-to-netgame-ga-love-comedy-ni-shinshokusare-hajimete-yabai,Truyện dịch,"['Adventure', 'Comedy', 'Harem', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-LNHbKsd0vgU/WO2vigXC8FI/AAAAAAAAJ1I/shqlws1gplY/w215/series_64.jpg,Fujitani Aru,Mishima Kurone,light novel,Tạm ngưng,864.0,228257,48.0,202935,90,"俺のリアルとネトゲがラブコメに侵蝕され始めてヤバイ
Đời sống thực và game của tôi bắt đầu bị xâm lăng bởi sự lãng mạn hài hước mới chết",1640,OtonashiVinky,https://ln.hako.vn/thanh-vien/1640,183,V for Vinky ヾ(･v ･｡)ｼ,https://ln.hako.vn/nhom-dich/183-v-for-vinky-w,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,6,47,27,5,2017,7,6,2018
67,Kikou Shoujo wa Kizutsukanai,https://ln.hako.vn/truyen/67-kikou-shoujo-wa-kizutsukanai,Truyện dịch,"['Action', 'Fantasy', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-lfDKZP6kqqw/WO2vi3IzLhI/AAAAAAAAJ1U/Qn1TsZcpDQ0/w215/series_67.jpg,Reiji Kaitou,Ruroo,light novel,Tạm ngưng,173.0,99432,7.0,41685,29,Unbreakable Machine Doll,41,hyddty,https://ln.hako.vn/thanh-vien/41,30,Hyddty,https://ln.hako.vn/nhom-dich/30-hyddty,NOT FOUND,NOT FOUND,NOT FOUND,2,14,11,11,2016,11,12,2016
68,Kamisu Reina,https://ln.hako.vn/truyen/68-kamisu-reina,Truyện dịch,"['Drama', 'School Life']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-leC0fV3ISbI/WO2vjLBhnHI/AAAAAAAAJ1Y/tywe7j5AsT4/w215/series_68.jpg,Mikage Eiji,NOT FOUND,light novel,Tạm ngưng,47.0,13652,4.0,12550,3,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,8,Solarius,https://ln.hako.vn/nhom-dich/8-solarius,NOT FOUND,NOT FOUND,NOT FOUND,1,1,11,11,2016,11,11,2016
74,Shuuen no Shiori,https://ln.hako.vn/truyen/74-shuuen-no-shiori,Truyện dịch,"['Horror', 'Supernatural']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-M-6vkrYx9lg/WO2vj2yyHvI/AAAAAAAAJ1w/PzcidroSpVM/w215/series_74.jpg,Suzumu,Komine,light novel,Tạm ngưng,89.0,41038,3.0,37385,0,Dấu trang của kết thúc,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,10,11,11,2016,11,11,2016
77,Hyouketsu Kyoukai no Eden,https://ln.hako.vn/truyen/77-hyouketsu-kyoukai-no-eden,Truyện dịch,"['Action', 'Drama', 'Fantasy', 'Romance', 'Harem', 'Seinen', 'Supernatural', '']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-WEtoezRBZFc/WO2vkZDQIeI/AAAAAAAAJ18/oL2NwpoEYzU/w215/series_77.jpg,Sazane Kei,Kasukabe Akira,light novel,Đang tiến hành,699.0,469313,48.0,258907,122,NOT FOUND,25295,Crashcrane,https://ln.hako.vn/thanh-vien/25295,1,Hako Translation,https://ln.hako.vn/nhom-dich/1-hako-translation,NOT FOUND,NOT FOUND,NOT FOUND,13,59,11,11,2016,17,6,2019
8,Sayonara Piano Sonata,https://ln.hako.vn/truyen/8-sayonara-piano-sonata,Truyện dịch,"['Drama', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-BtMZ7dWSY0s/WO2vaGex_JI/AAAAAAAAJxo/Rgvg3AoYvx0/w215/series_8.jpg,Sugii Hikaru,Ueda Ryo,light novel,Đã hoàn thành,338.0,359090,39.0,93608,66,Bản Sô-nát Dương Cầm Li Biệt,2,Hako-chan,https://ln.hako.vn/thanh-vien/2,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,10772,smile_de_vn,https://ln.hako.vn/thanh-vien/10772,5,59,26,8,2019,24,2,2020
80,Hyouka,https://ln.hako.vn/truyen/80-hyouka,Truyện dịch,"['Drama', 'Mystery', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-28VzsLKLZ-k/WO2vk02yoHI/AAAAAAAAJ2I/s5xI6fp-6Sg/w215/series_80.jpg,Yonezawa Honobu,NOT FOUND,web novel,Đang tiến hành,1073.0,537813,114.0,398153,258,NOT FOUND,13,kysido22,https://ln.hako.vn/thanh-vien/13,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,7,58,11,11,2016,10,5,2018
9,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,https://ln.hako.vn/truyen/9-oniichan-dakedo-ai-sae-areba-kankeinai-yo-ne,Truyện dịch,"['Comedy', 'Harem', 'Incest', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-JhxMJBftUkU/WO2vaOYET5I/AAAAAAAAJxs/v_XBaNuQRHs/w215/series_9.jpg,Suzuki Daisuke,Uruu Gekka,light novel,Tạm ngưng,203.0,74943,13.0,58339,28,"Cho dù đó là Onii-chan đi chăng nữa, chỉ cần có tình yêu thì sẽ không có vấn đề gì cả, đúng nhỉ?",27,Nanaya,https://ln.hako.vn/thanh-vien/27,10,Tako & team.,https://ln.hako.vn/nhom-dich/10-tako-team,2,Hako-chan,https://ln.hako.vn/thanh-vien/2,11,14,11,11,2016,11,11,2016
